strategy_name,observations,start_date,end_date,avg_daily_turnover,median_daily_turnover,max_daily_turnover,days_with_turnover,state_switches
walkforward_hmm_regime_strategy,3322,2013-02-04,2026-04-20,0.01044430135043568,2.4488769681728156e-05,0.2738637565234955,3210,272
kmeans_regime_strategy,3321,2013-02-05,2026-04-20,0.07741644083107499,0.0,0.6,679,679
