date,spy_adj_close
2010-01-04,84.79637908935547
2010-01-05,85.02084350585938
2010-01-06,85.08071899414062
2010-01-07,85.43984985351562
2010-01-08,85.72417449951172
2010-01-11,85.84387969970703
2010-01-12,85.04330444335938
2010-01-13,85.76158142089844
2010-01-14,85.99354553222656
2010-01-15,85.0283203125
2010-01-19,86.0907974243164
2010-01-20,85.21538543701172
2010-01-21,83.57677459716797
2010-01-22,81.71369171142578
2010-01-25,82.13270568847656
2010-01-26,81.78854370117188
2010-01-27,82.17756652832031
2010-01-28,81.23484802246094
2010-01-29,80.3519058227539
2010-02-01,81.60143280029297
2010-02-02,82.5890884399414
2010-02-03,82.17756652832031
2010-02-04,79.64110565185547
2010-02-05,79.80570983886719
2010-02-08,79.22957611083984
2010-02-09,80.22473907470703
2010-02-10,80.06757354736328
2010-02-11,80.90560913085938
2010-02-12,80.83827209472656
2010-02-16,82.1102523803711
2010-02-17,82.49931335449219
2010-02-18,82.98567962646484
2010-02-19,83.15776824951172
2010-02-22,83.17273712158203
2010-02-23,82.16261291503906
2010-02-24,82.9183578491211
2010-02-25,82.80610656738281
2010-02-26,82.85848236083984
2010-03-01,83.71892547607422
2010-03-02,83.95088958740234
2010-03-03,84.02572631835938
2010-03-04,84.28009796142578
2010-03-05,85.48474884033203
2010-03-08,85.49970245361328
2010-03-09,85.6418685913086
2010-03-10,86.02346801757812
2010-03-11,86.38258361816406
2010-03-12,86.39009094238281
2010-03-15,86.41255187988281
2010-03-16,87.1009292602539
2010-03-17,87.61722564697266
2010-03-18,87.57230377197266
2010-03-19,87.12904357910156
2010-03-22,87.5948257446289
2010-03-23,88.2109146118164
2010-03-24,87.78263092041016
2010-03-25,87.63990020751953
2010-03-26,87.58732604980469
2010-03-29,88.14327239990234
2010-03-30,88.20338439941406
2010-03-31,87.90288543701172
2010-04-01,88.50392150878906
2010-04-05,89.2251968383789
2010-04-06,89.43553924560547
2010-04-07,88.92466735839844
2010-04-08,89.23268127441406
2010-04-09,89.81871032714844
2010-04-12,89.96146392822266
2010-04-13,90.02906036376953
2010-04-14,91.05084991455078
2010-04-15,91.1259536743164
2010-04-16,89.67594146728516
2010-04-19,90.01402282714844
2010-04-20,90.81792449951172
2010-04-21,90.65264129638672
2010-04-22,90.92310333251953
2010-04-23,91.51663970947266
2010-04-26,91.17105865478516
2010-04-27,89.01480102539062
2010-04-28,89.69098663330078
2010-04-29,90.80291748046875
2010-04-30,89.26273345947266
2010-05-03,90.41974639892578
2010-05-04,88.29353332519531
2010-05-05,87.76763153076172
2010-05-06,84.85258483886719
2010-05-07,83.59037780761719
2010-05-10,87.27174377441406
2010-05-11,87.02381896972656
2010-05-12,88.24095916748047
2010-05-13,87.1440658569336
2010-05-14,85.56631469726562
2010-05-17,85.61135864257812
2010-05-18,84.44684600830078
2010-05-19,83.96601104736328
2010-05-20,80.7955093383789
2010-05-21,81.97504425048828
2010-05-24,80.92323303222656
2010-05-25,81.00586700439453
2010-05-26,80.51752471923828
2010-05-27,83.21468353271484
2010-05-28,82.1703872680664
2010-06-01,80.78797912597656
2010-06-02,82.89163970947266
2010-06-03,83.1771469116211
2010-06-04,80.25455474853516
2010-06-07,79.25531005859375
2010-06-08,80.10430145263672
2010-06-09,79.67605590820312
2010-06-10,82.00508880615234
2010-06-11,82.40328216552734
2010-06-14,82.27558135986328
2010-06-15,84.14635467529297
2010-06-16,84.11629486083984
2010-06-17,84.25150299072266
2010-06-18,84.34284973144531
2010-06-21,84.10130310058594
2010-06-22,82.71234130859375
2010-06-23,82.45563507080078
2010-06-24,81.08929443359375
2010-06-25,81.42899322509766
2010-06-28,81.17234802246094
2010-06-29,78.66616821289062
2010-06-30,77.9188232421875
2010-07-01,77.57158660888672
2010-07-02,77.14881896972656
2010-07-06,77.65463256835938
2010-07-07,80.1004409790039
2010-07-08,80.89305114746094
2010-07-09,81.49694061279297
2010-07-12,81.54978942871094
2010-07-13,82.78026580810547
2010-07-14,82.77269744873047
2010-07-15,82.79533386230469
2010-07-16,80.51559448242188
2010-07-19,80.99122619628906
2010-07-20,81.88949584960938
2010-07-21,80.82508087158203
2010-07-22,82.62926483154297
2010-07-23,83.34642028808594
2010-07-26,84.21452331542969
2010-07-27,84.20699310302734
2010-07-28,83.66343688964844
2010-07-29,83.25582885742188
2010-07-30,83.2406997680664
2010-08-02,85.12036895751953
2010-08-03,84.7127456665039
2010-08-04,85.27892303466797
2010-08-05,85.18829345703125
2010-08-06,84.8410873413086
2010-08-09,85.29399871826172
2010-08-10,84.83353424072266
2010-08-11,82.50849151611328
2010-08-12,82.00273132324219
2010-08-13,81.76118469238281
2010-08-16,81.72344207763672
2010-08-17,82.72740936279297
2010-08-18,82.87841796875
2010-08-19,81.43657684326172
2010-08-20,81.17234802246094
2010-08-23,80.86288452148438
2010-08-24,79.66259765625
2010-08-25,79.97210693359375
2010-08-26,79.4361572265625
2010-08-27,80.66657257080078
2010-08-30,79.49649810791016
2010-08-31,79.49649810791016
2010-09-01,81.87437438964844
2010-09-02,82.6368408203125
2010-09-03,83.70875549316406
2010-09-07,82.76514434814453
2010-09-08,83.34642028808594
2010-09-09,83.73139953613281
2010-09-10,84.15412902832031
2010-09-13,85.09017944335938
2010-09-14,85.0373306274414
2010-09-15,85.36193084716797
2010-09-16,85.33928680419922
2010-09-17,85.37117004394531
2010-09-20,86.67650604248047
2010-09-21,86.50198364257812
2010-09-22,86.07698059082031
2010-09-23,85.3787841796875
2010-09-24,87.13948059082031
2010-09-27,86.7220687866211
2010-09-28,87.0256118774414
2010-09-29,86.87383270263672
2010-09-30,86.61582946777344
2010-10-01,86.98008728027344
2010-10-04,86.32744598388672
2010-10-05,88.06535339355469
2010-10-06,88.05776977539062
2010-10-07,87.95149230957031
2010-10-08,88.44481658935547
2010-10-11,88.52830505371094
2010-10-12,88.801513671875
2010-10-13,89.49213409423828
2010-10-14,89.14300537109375
2010-10-15,89.32513427734375
2010-10-18,89.76533508300781
2010-10-19,88.5890121459961
2010-10-20,89.45415496826172
2010-10-21,89.6514892578125
2010-10-22,89.8184814453125
2010-10-25,90.0840835571289
2010-10-26,90.09928894042969
2010-10-27,89.8412094116211
2010-10-28,89.85640716552734
2010-10-29,89.92471313476562
2010-11-01,89.95503234863281
2010-11-02,90.6684341430664
2010-11-03,91.03271484375
2010-11-04,92.78583526611328
2010-11-05,93.13493347167969
2010-11-08,92.96043395996094
2010-11-09,92.29252624511719
2010-11-10,92.6644058227539
2010-11-11,92.31531524658203
2010-11-12,91.22246551513672
2010-11-15,91.09347534179688
2010-11-16,89.67428588867188
2010-11-17,89.7198257446289
2010-11-18,91.04035186767578
2010-11-19,91.29076385498047
2010-11-22,91.21485137939453
2010-11-23,89.89436340332031
2010-11-24,91.22246551513672
2010-11-26,90.15995788574219
2010-11-29,90.4332046508789
2010-11-30,89.92471313476562
2010-12-01,91.83718872070312
2010-12-02,93.01353454589844
2010-12-03,93.26395416259766
2010-12-06,93.16533660888672
2010-12-07,93.2184066772461
2010-12-08,93.55992126464844
2010-12-09,93.92420959472656
2010-12-10,94.47064208984375
2010-12-13,94.53135681152344
