date,tlt_adj_close
2010-01-04,56.135189056396484
2010-01-05,56.49769592285156
2010-01-06,55.74137496948242
2010-01-07,55.83514404296875
2010-01-08,55.810176849365234
2010-01-11,55.503849029541016
2010-01-12,56.4539680480957
2010-01-13,55.79765319824219
2010-01-14,56.57895278930664
2010-01-15,56.9289665222168
2010-01-19,56.7664909362793
2010-01-20,57.34149932861328
2010-01-21,57.60402297973633
2010-01-22,57.504032135009766
2010-01-25,57.24152755737305
2010-01-26,57.26026916503906
2010-01-27,57.228981018066406
2010-01-28,57.197757720947266
2010-01-29,57.697784423828125
2010-02-01,57.174049377441406
2010-02-02,57.337120056152344
2010-02-03,56.67222213745117
2010-02-04,57.56917190551758
2010-02-05,57.69468307495117
2010-02-08,57.769935607910156
2010-02-09,57.192848205566406
2010-02-10,56.647125244140625
2010-02-11,56.33977127075195
2010-02-12,56.571876525878906
2010-02-16,56.678524017333984
2010-02-17,56.032413482666016
2010-02-18,55.80658721923828
2010-02-19,56.10770034790039
2010-02-22,55.87559509277344
2010-02-23,56.74749755859375
2010-02-24,56.885498046875
2010-02-25,57.20537567138672
2010-02-26,57.500205993652344
2010-03-01,57.4750862121582
2010-03-02,57.39950180053711
2010-03-03,57.25481414794922
2010-03-04,57.55687713623047
2010-03-05,56.80174255371094
2010-03-08,56.506019592285156
2010-03-09,56.51856994628906
2010-03-10,56.373870849609375
2010-03-11,56.58148193359375
2010-03-12,56.933902740478516
2010-03-15,56.858394622802734
2010-03-16,57.311405181884766
2010-03-17,57.55687713623047
2010-03-18,57.368045806884766
2010-03-19,57.424686431884766
2010-03-22,57.487632751464844
2010-03-23,57.21701431274414
2010-03-24,56.17247009277344
2010-03-25,55.8138542175293
2010-03-26,55.971214294433594
2010-03-29,55.75723648071289
2010-03-30,55.93341064453125
2010-03-31,56.317176818847656
2010-04-01,56.17953109741211
2010-04-05,55.24475860595703
2010-04-06,55.33323669433594
2010-04-07,56.04061508178711
2010-04-08,56.065860748291016
2010-04-09,56.198482513427734
2010-04-12,56.495338439941406
2010-04-13,56.67851638793945
2010-04-14,56.28063201904297
2010-04-15,56.343746185302734
2010-04-16,56.7542610168457
2010-04-19,56.615333557128906
2010-04-20,56.81745147705078
2010-04-21,57.28486251831055
2010-04-22,57.11433029174805
2010-04-23,56.91220474243164
2010-04-26,56.97533416748047
2010-04-27,57.7774772644043
2010-04-28,57.28486251831055
2010-04-29,57.5247917175293
2010-04-30,58.18796920776367
2010-05-03,58.11192321777344
2010-05-04,59.15763854980469
2010-05-05,59.50625991821289
2010-05-06,61.34422302246094
2010-05-07,60.57736587524414
2010-05-10,59.322471618652344
2010-05-11,59.17039489746094
2010-05-12,58.72036361694336
2010-05-13,59.10694885253906
2010-05-14,60.13371658325195
2010-05-17,59.91188049316406
2010-05-18,60.830833435058594
2010-05-19,61.033653259277344
2010-05-20,62.32029342651367
2010-05-21,62.383628845214844
2010-05-24,62.16815948486328
2010-05-25,62.47233200073242
2010-05-26,62.294891357421875
2010-05-27,60.881534576416016
2010-05-28,61.16041564941406
2010-06-01,61.59035110473633
2010-06-02,61.00528335571289
2010-06-03,60.56009292602539
2010-06-04,62.1881217956543
2010-06-07,62.665069580078125
2010-06-08,62.35342788696289
2010-06-09,62.28349685668945
2010-06-10,61.17061996459961
2010-06-11,61.946468353271484
2010-06-14,61.628482818603516
2010-06-15,61.37406539916992
2010-06-16,61.72386169433594
2010-06-17,62.226318359375
2010-06-18,62.124488830566406
2010-06-21,61.946468353271484
2010-06-22,62.68413162231445
2010-06-23,63.110172271728516
2010-06-24,62.735008239746094
2010-06-25,62.98939514160156
2010-06-28,63.58081817626953
2010-06-29,64.27397155761719
2010-06-30,64.7063980102539
2010-07-01,64.80850219726562
2010-07-02,64.29183197021484
2010-07-06,64.82123565673828
2010-07-07,64.06217193603516
2010-07-08,63.653907775878906
2010-07-09,63.290306091308594
2010-07-12,63.264801025390625
2010-07-13,62.722618103027344
2010-07-14,63.35413360595703
2010-07-15,63.98561096191406
2010-07-16,64.29814910888672
2010-07-19,63.902687072753906
2010-07-20,63.99838638305664
2010-07-21,65.08275604248047
2010-07-22,64.330078125
2010-07-23,63.64754867553711
2010-07-26,63.53910446166992
2010-07-27,62.9267578125
2010-07-28,63.130828857421875
2010-07-29,63.111717224121094
2010-07-30,64.09405517578125
2010-08-02,63.19428634643555
2010-08-03,63.55905532836914
2010-08-04,63.07270431518555
2010-08-05,63.36705780029297
2010-08-06,64.05821990966797
2010-08-09,63.82144546508789
2010-08-10,63.95585632324219
2010-08-11,64.81338500976562
2010-08-12,64.65338134765625
2010-08-13,65.45970153808594
2010-08-16,67.0979232788086
2010-08-17,66.71399688720703
2010-08-18,66.89315795898438
2010-08-19,67.936279296875
2010-08-20,67.85945892333984
2010-08-23,67.87228393554688
2010-08-24,68.96018981933594
2010-08-25,68.73619079589844
2010-08-26,69.38255310058594
2010-08-27,67.41788482666016
2010-08-30,68.71060180664062
2010-08-31,69.47212982177734
2010-09-01,68.03565216064453
2010-09-02,67.31682586669922
2010-09-03,66.482421875
2010-09-07,67.84310913085938
2010-09-08,67.30397033691406
2010-09-09,65.97534942626953
2010-09-10,65.6737060546875
2010-09-13,65.9946060180664
2010-09-14,66.6300277709961
2010-09-15,65.64161682128906
2010-09-16,64.99334716796875
2010-09-17,65.25646209716797
2010-09-20,65.63517761230469
2010-09-21,66.5466079711914
2010-09-22,67.14351654052734
2010-09-23,67.33607482910156
2010-09-24,66.43106842041016
2010-09-27,67.5864028930664
2010-09-28,68.04847717285156
2010-09-29,67.7660903930664
2010-09-30,67.72117614746094
2010-10-01,67.3938980102539
2010-10-04,67.56785583496094
2010-10-05,67.16197204589844
2010-10-06,68.00596618652344
2010-10-07,67.43897247314453
2010-10-08,67.14262390136719
2010-10-11,67.15553283691406
2010-10-12,66.49201202392578
2010-10-13,66.38890838623047
2010-10-14,65.39675903320312
2010-10-15,64.5979232788086
2010-10-18,65.11972045898438
2010-10-19,65.51270294189453
2010-10-20,65.65452575683594
2010-10-21,64.8749008178711
2010-10-22,65.31298828125
2010-10-25,65.49980926513672
2010-10-26,64.48838806152344
2010-10-27,63.921451568603516
2010-10-28,64.09539031982422
2010-10-29,64.69451904296875
2010-11-01,64.41597747802734
2010-11-02,65.26261901855469
2010-11-03,63.93125915527344
2010-11-04,64.42887115478516
2010-11-05,63.32376480102539
2010-11-08,63.60813522338867
2010-11-09,62.205692291259766
2010-11-10,62.28965759277344
2010-11-11,62.257408142089844
2010-11-12,61.921260833740234
2010-11-15,60.628719329833984
2010-11-16,62.134525299072266
2010-11-17,61.79199981689453
2010-11-18,62.04408645629883
2010-11-19,62.425376892089844
2010-11-22,62.69041061401367
2010-11-23,63.00061798095703
2010-11-24,61.87601089477539
2010-11-26,62.73563766479492
2010-11-29,63.272064208984375
2010-11-30,63.60160827636719
2010-12-01,62.18787384033203
2010-12-02,62.02570724487305
2010-12-03,61.539329528808594
2010-12-06,62.40834045410156
2010-12-07,61.07234191894531
2010-12-08,60.48219299316406
2010-12-09,60.78050231933594
2010-12-10,60.41086959838867
2010-12-13,60.63783645629883
2010-12-14,59.755828857421875
2010-12-15,58.977603912353516
2010-12-16,59.386165618896484
2010-12-17,60.46922302246094
2010-12-20,60.404388427734375
2010-12-21,60.82594680786133
2010-12-22,60.39142608642578
2010-12-23,60.26818084716797
2010-12-27,60.8065071105957
2010-12-28,59.61558532714844
2010-12-29,60.62425231933594
2010-12-30,60.57874298095703
2010-12-31,61.24896240234375
2011-01-03,60.78693771362305
2011-01-04,60.85857009887695
2011-01-05,59.51801681518555
2011-01-06,59.7783088684082
2011-01-07,60.09714126586914
2011-01-10,60.42256546020508
2011-01-11,60.08414840698242
2011-01-12,59.61558532714844
2011-01-13,60.14921951293945
2011-01-14,59.7652587890625
2011-01-18,59.485469818115234
2011-01-19,59.914886474609375
2011-01-20,59.08852005004883
2011-01-21,59.55703353881836
2011-01-24,59.583038330078125
2011-01-25,60.14921951293945
2011-01-26,59.2381591796875
2011-01-27,59.504981994628906
2011-01-28,59.817325592041016
2011-01-31,59.36181640625
2011-02-01,59.06787872314453
2011-02-02,59.08100891113281
2011-02-03,58.59122085571289
2011-02-04,57.99692916870117
2011-02-07,58.297325134277344
2011-02-08,57.76182556152344
2011-02-09,58.26470184326172
2011-02-10,57.592071533203125
2011-02-11,58.421417236328125
2011-02-14,58.46060562133789
2011-02-15,58.721824645996094
2011-02-16,58.532413482666016
2011-02-17,58.62388229370117
2011-02-18,58.440975189208984
2011-02-22,59.31610870361328
2011-02-23,59.5316047668457
2011-02-24,59.910308837890625
2011-02-25,60.263004302978516
2011-02-28,60.341392517089844
2011-03-01,60.51629638671875
2011-03-02,59.58598709106445
2011-03-03,59.002891540527344
2011-03-04,59.49425506591797
2011-03-07,59.11429977416992
2011-03-08,58.753944396972656
2011-03-09,59.32392883300781
2011-03-10,60.319732666015625
2011-03-11,59.979026794433594
2011-03-14,59.95287322998047
2011-03-15,60.85041046142578
2011-03-16,61.53833770751953
2011-03-17,61.06665802001953
2011-03-18,61.23040008544922
2011-03-21,60.87007522583008
2011-03-22,61.07318878173828
2011-03-23,60.994529724121094
2011-03-24,60.535953521728516
2011-03-25,60.38522720336914
2011-03-28,60.47043228149414
2011-03-29,60.0052604675293
