date,qqq_adj_close
2010-01-04,40.29079818725586
2010-01-05,40.29079818725586
2010-01-06,40.047760009765625
2010-01-07,40.07380294799805
2010-01-08,40.403621673583984
2010-01-11,40.23869323730469
2010-01-12,39.73529052734375
2010-01-13,40.23003005981445
2010-01-14,40.264747619628906
2010-01-15,39.79605484008789
2010-01-19,40.43833541870117
2010-01-20,39.856815338134766
2010-01-21,39.48358154296875
2010-01-22,38.32920455932617
2010-01-25,38.45939254760742
2010-01-26,38.49410629272461
2010-01-27,38.797889709472656
2010-01-28,37.799739837646484
2010-01-29,37.14009475708008
2010-02-01,37.54805374145508
2010-02-02,37.88652801513672
2010-02-03,38.0948600769043
2010-02-04,36.99253463745117
2010-02-05,37.30500411987305
2010-02-08,37.03593063354492
2010-02-09,37.4178466796875
2010-02-10,37.3397331237793
2010-02-11,37.90387725830078
2010-02-12,37.98200607299805
2010-02-16,38.46807098388672
2010-02-17,38.685062408447266
2010-02-18,38.92808532714844
2010-02-19,38.910743713378906
2010-02-22,38.83259963989258
2010-02-23,38.32920455932617
2010-02-24,38.71977615356445
2010-02-25,38.711082458496094
2010-02-26,38.84996795654297
2010-03-01,39.414127349853516
2010-03-02,39.53565979003906
2010-03-03,39.57905960083008
2010-03-04,39.70927047729492
2010-03-05,40.308143615722656
2010-03-08,40.386253356933594
2010-03-09,40.61192321777344
2010-03-10,40.94176483154297
2010-03-11,41.097999572753906
2010-03-12,41.1066780090332
2010-03-15,41.002525329589844
2010-03-16,41.26290512084961
2010-03-17,41.37575149536133
2010-03-18,41.51462936401367
2010-03-19,41.26350784301758
2010-03-22,41.637123107910156
2010-03-23,41.92385482788086
2010-03-24,41.72401809692383
2010-03-25,41.6632080078125
2010-03-26,41.706642150878906
2010-03-29,41.90648651123047
2010-03-30,42.04551696777344
2010-03-31,41.84565353393555
2010-04-01,41.84565353393555
2010-04-05,42.23666000366211
2010-04-06,42.35831069946289
2010-04-07,42.2540397644043
2010-04-08,42.34962463378906
2010-04-09,42.60158920288086
2010-04-12,42.636348724365234
2010-04-13,42.853580474853516
2010-04-14,43.36624526977539
2010-04-15,43.557373046875
2010-04-16,43.03602981567383
2010-04-19,43.009979248046875
2010-04-20,43.22721862792969
2010-04-21,43.470481872558594
2010-04-22,43.71377944946289
2010-04-23,43.896240234375
2010-04-26,43.800662994384766
2010-04-27,42.87094497680664
2010-04-28,42.89701843261719
2010-04-29,43.644256591796875
2010-04-30,42.784061431884766
2010-05-03,43.38358688354492
2010-05-04,42.08025360107422
2010-05-05,41.863040924072266
2010-05-06,40.46412658691406
2010-05-07,39.456199645996094
2010-05-10,41.506805419921875
