date,ief_adj_close
2010-01-04,61.75175857543945
2010-01-05,62.02286148071289
2010-01-06,61.77254104614258
2010-01-07,61.77254104614258
2010-01-08,61.84903335571289
2010-01-11,61.89076614379883
2010-01-12,62.335697174072266
2010-01-13,62.036746978759766
2010-01-14,62.328765869140625
2010-01-15,62.60683822631836
2010-01-19,62.495582580566406
2010-01-20,62.71113967895508
2010-01-21,62.940555572509766
2010-01-22,62.99614334106445
2010-01-25,62.857147216796875
2010-01-26,62.98233413696289
2010-01-27,62.8363151550293
2010-01-28,62.81542205810547
2010-01-29,63.05877685546875
2010-02-01,62.8425407409668
2010-02-02,62.94717788696289
2010-02-03,62.6472282409668
2010-02-04,63.163387298583984
2010-02-05,63.365718841552734
2010-02-08,63.30989074707031
2010-02-09,62.968074798583984
2010-02-10,62.79374694824219
2010-02-11,62.717002868652344
2010-02-12,62.863433837890625
2010-02-16,63.00294876098633
2010-02-17,62.66815948486328
2010-02-18,62.44492721557617
2010-02-19,62.47978210449219
2010-02-22,62.43098068237305
2010-02-23,62.90536117553711
2010-02-24,62.94020462036133
2010-02-25,63.170406341552734
2010-02-26,63.26805114746094
2010-03-01,63.33380889892578
2010-03-02,63.368751525878906
2010-03-03,63.30582809448242
2010-03-04,63.41770935058594
2010-03-05,63.116973876953125
2010-03-08,62.949127197265625
2010-03-09,63.10995101928711
2010-03-10,63.00509262084961
2010-03-11,62.949127197265625
2010-03-12,63.04705810546875
2010-03-15,63.04705810546875
2010-03-16,63.291778564453125
2010-03-17,63.368751525878906
2010-03-18,63.20093536376953
2010-03-19,63.116973876953125
2010-03-22,63.32683181762695
2010-03-23,63.19390106201172
2010-03-24,62.5644416809082
2010-03-25,62.3336067199707
2010-03-26,62.48051834106445
2010-03-29,62.38957595825195
2010-03-30,62.4525260925293
2010-03-31,62.59939956665039
2010-04-01,62.46961212158203
2010-04-05,61.90846633911133
2010-04-06,62.090858459472656
2010-04-07,62.476646423339844
2010-04-08,62.406471252441406
2010-04-09,62.476646423339844
2010-04-12,62.64499282836914
2010-04-13,62.76419448852539
2010-04-14,62.595882415771484
2010-04-15,62.70112609863281
2010-04-16,63.079933166503906
2010-04-19,62.92560577392578
2010-04-20,62.95365905761719
2010-04-21,63.15702819824219
2010-04-22,63.00968933105469
2010-04-23,62.834327697753906
2010-04-26,62.876468658447266
2010-04-27,63.46564865112305
2010-04-28,63.14302444458008
2010-04-29,63.24820327758789
2010-04-30,63.63402557373047
2010-05-03,63.46722412109375
2010-05-04,63.89640808105469
2010-05-05,64.14268493652344
2010-05-06,64.84622192382812
2010-05-07,64.67034912109375
2010-05-10,64.17787170410156
2010-05-11,64.25526428222656
2010-05-12,64.09339904785156
2010-05-13,64.26927947998047
2010-05-14,64.68443298339844
2010-05-17,64.54373168945312
2010-05-18,65.01507568359375
2010-05-19,65.07135009765625
2010-05-20,65.70453643798828
2010-05-21,65.73973083496094
2010-05-24,65.73973083496094
2010-05-25,65.96488952636719
2010-05-26,65.8311996459961
2010-05-27,65.20504760742188
2010-05-28,65.50049591064453
2010-06-01,65.5851821899414
2010-06-02,65.2112808227539
2010-06-03,65.1194839477539
2010-06-04,66.02259063720703
2010-06-07,66.29076385498047
2010-06-08,66.08604431152344
2010-06-09,66.09317016601562
2010-06-10,65.4793930053711
2010-06-11,65.89561462402344
2010-06-14,65.83918762207031
2010-06-15,65.63460540771484
2010-06-16,65.8179931640625
2010-06-17,66.1284408569336
2010-06-18,65.99433135986328
2010-06-21,65.94495391845703
2010-06-22,66.3400650024414
2010-06-23,66.58702087402344
2010-06-24,66.53057098388672
2010-06-25,66.63641357421875
2010-06-28,67.10911560058594
2010-06-29,67.39842224121094
2010-06-30,67.49713897705078
2010-07-01,67.46739959716797
2010-07-02,67.34715270996094
2010-07-06,67.50985717773438
2010-07-07,67.2976303100586
2010-07-08,67.13496398925781
2010-07-09,66.95816040039062
2010-07-12,67.07135009765625
2010-07-13,66.73880004882812
2010-07-14,67.07135009765625
2010-07-15,67.41795349121094
2010-07-16,67.80695343017578
2010-07-19,67.63013458251953
2010-07-20,67.70084381103516
2010-07-21,68.13239288330078
2010-07-22,67.75746154785156
2010-07-23,67.53814697265625
2010-07-26,67.51691436767578
2010-07-27,67.28355407714844
2010-07-28,67.57354736328125
2010-07-29,67.71492767333984
2010-07-30,68.11113739013672
2010-08-02,67.90044403076172
2010-08-03,68.21968841552734
2010-08-04,67.93598175048828
2010-08-05,68.26217651367188
2010-08-06,68.708984375
2010-08-09,68.69483184814453
2010-08-10,69.04232788085938
2010-08-11,69.43242645263672
2010-08-12,69.2551040649414
2010-08-13,69.55299377441406
2010-08-16,70.05651092529297
2010-08-17,69.7019271850586
2010-08-18,69.63096618652344
2010-08-19,69.94304656982422
2010-08-20,69.71609497070312
2010-08-23,69.80831146240234
2010-08-24,70.36143493652344
2010-08-25,70.04228973388672
2010-08-26,70.36143493652344
2010-08-27,69.55299377441406
2010-08-30,70.08488464355469
2010-08-31,70.39697265625
2010-09-01,69.88999938964844
2010-09-02,69.5985107421875
2010-09-03,69.20033264160156
2010-09-07,69.74776458740234
2010-09-08,69.55585479736328
2010-09-09,69.00838470458984
2010-09-10,68.8093032836914
2010-09-13,69.1363525390625
2010-09-14,69.4847640991211
2010-09-15,69.2430419921875
2010-09-16,69.00122833251953
2010-09-17,69.1576919555664
2010-09-20,69.37102508544922
2010-09-21,70.01798248291016
2010-09-22,70.12466430664062
2010-09-23,70.22417449951172
2010-09-24,69.8758316040039
2010-09-27,70.41613006591797
2010-09-28,70.65074920654297
2010-09-29,70.4801254272461
2010-09-30,70.3947982788086
2010-10-01,70.43257141113281
2010-10-04,70.68206787109375
2010-10-05,70.69629669189453
2010-10-06,71.15238189697266
2010-10-07,71.2236328125
2010-10-08,71.25209045410156
2010-10-11,71.32337951660156
2010-10-12,71.1167221069336
2010-10-13,71.1167221069336
2010-10-14,70.7105484008789
2010-10-15,70.40409851074219
2010-10-18,70.739013671875
2010-10-19,70.98135375976562
2010-10-20,70.93854522705078
2010-10-21,70.54660034179688
2010-10-22,70.56800842285156
2010-10-25,70.54660034179688
2010-10-26,70.0762710571289
2010-10-27,69.67005157470703
2010-10-28,70.0762710571289
2010-10-29,70.38981628417969
2010-11-01,70.27198791503906
2010-11-02,70.50764465332031
2010-11-03,70.73627471923828
2010-11-04,71.30775451660156
2010-11-05,71.0077133178711
2010-11-08,71.0291976928711
2010-11-09,70.42910766601562
2010-11-10,70.69342041015625
2010-11-11,70.6148910522461
2010-11-12,70.02908325195312
2010-11-15,69.12896728515625
2010-11-16,69.643310546875
2010-11-17,69.44329833984375
2010-11-18,69.27896881103516
2010-11-19,69.42189025878906
2010-11-22,69.79332733154297
2010-11-23,69.93619537353516
2010-11-24,69.18606567382812
2010-11-26,69.48619079589844
2010-11-29,69.63617706298828
2010-11-30,69.75757598876953
2010-12-01,68.84026336669922
2010-12-02,68.66839599609375
2010-12-03,68.67552947998047
2010-12-06,69.10519409179688
2010-12-07,67.95940399169922
2010-12-08,67.37937927246094
2010-12-09,67.52262878417969
2010-12-10,66.94969177246094
2010-12-13,67.16451263427734
2010-12-14,66.45557403564453
2010-12-15,66.1834945678711
2010-12-16,66.57736206054688
2010-12-17,67.15023040771484
2010-12-20,67.14308166503906
2010-12-21,67.28630065917969
2010-12-22,67.10009002685547
2010-12-23,66.8637924194336
2010-12-27,67.12156677246094
2010-12-28,66.41651916503906
2010-12-29,67.16326904296875
2010-12-30,67.02677917480469
2010-12-31,67.36427307128906
2011-01-03,67.156005859375
2011-01-04,67.31399536132812
2011-01-05,66.58880615234375
2011-01-06,66.93341827392578
2011-01-07,67.37861633300781
2011-01-10,67.6083984375
2011-01-11,67.34269714355469
2011-01-12,67.14889526367188
2011-01-13,67.60127258300781
2011-01-14,67.41449737548828
